f94 pts=8 lon=[-180.00,-177.58] maxJump=1.45@4 DM=-180.00:70.83;-180.00:71.52
f95 pts=932 lon=[-168.11,-34.73] maxJump=2.70@901
f96 pts=45 lon=[-119.40,-100.98] maxJump=2.97@23
f97 pts=6 lon=[-106.94,-104.50] maxJump=1.56@1
f98 pts=11 lon=[-80.88,-76.25] maxJump=2.29@8
f99 pts=73 lon=[-90.21,-61.85] maxJump=3.64@61
f100 pts=15 lon=[-102.50,-96.54] maxJump=2.49@9
f101 pts=8 lon=[139.86,143.60] maxJump=2.05@1
f102 pts=11 lon=[-96.03,-90.51] maxJump=2.08@6
f103 pts=17 lon=[-125.93,-115.51] maxJump=3.38@7
f104 pts=7 lon=[146.12,150.73] maxJump=2.51@5
f105 pts=8 lon=[-96.82,-93.61] maxJump=1.45@1
f106 pts=9 lon=[136.97,145.09] maxJump=3.69@1
f107 pts=13 lon=[-102.57,-97.70] maxJump=1.65@3
f108 pts=22 lon=[-117.71,-105.70] maxJump=4.52@10
f109 pts=26 lon=[51.46,68.85] maxJump=3.54@18
f110 pts=28 lon=[-97.12,-79.83] maxJump=2.87@16
f111 pts=12 lon=[-122.85,-116.20] maxJump=2.05@8
f112 pts=1299 lon=[-17.63,180.00] maxJump=9.03@34 DM=180.00:68.96;180.00:64.98;179.99:64.97
f112 pts=52 lon=[46.68,54.74] maxJump=1.56@12
f113 pts=7 lon=[-96.44,-93.72] maxJump=2.01@3
f114 pts=7 lon=[-113.53,-109.85] maxJump=1.86@0
f115 pts=8 lon=[20.73,24.72] maxJump=2.23@0
f116 pts=7 lon=[-112.54,-109.66] maxJump=1.66@1
f117 pts=9 lon=[-98.63,-95.56] maxJump=1.48@0
f118 pts=11 lon=[-105.49,-99.67] maxJump=2.70@8
f119 pts=7 lon=[99.44,105.37] maxJump=5.64@0
f120 pts=18 lon=[10.44,21.54] maxJump=3.29@0
f121 pts=12 lon=[17.37,27.41] maxJump=3.09@7
f122 pts=15 lon=[44.85,51.52] maxJump=2.23@6
f123 pts=11 lon=[91.18,100.19] maxJump=2.79@1
f124 pts=21 lon=[-96.71,-85.81] maxJump=2.33@15
f125 pts=65 lon=[-91.59,-61.85] maxJump=3.50@45
f126 pts=132 lon=[-73.30,-12.21] maxJump=7.99@130
